"U:0","U:1","U:2","epsilon","k","nut","p","tmp<kEpsilon:G>","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.03866,-0.111006,1.55706e-19,82.2798,0.805706,0.000715573,14.0879,106.136,1,0.143867,0.163867,0.02,0
6.01318,-0.105348,5.69685e-19,81.9808,0.807174,0.000720677,14.1721,106.341,1,0.144733,0.164733,0.02,0
5.98922,-0.100066,4.58634e-19,81.6252,0.808523,0.00072614,14.2527,106.364,1,0.1456,0.1656,0.02,0
5.96557,-0.0948271,2.89142e-19,81.2687,0.809897,0.000731685,14.3326,106.373,1,0.146467,0.166467,0.02,0
5.94325,-0.0899329,-2.12482e-19,80.9516,0.811083,0.000736615,14.4096,106.406,1,0.147333,0.167333,0.02,0
5.92136,-0.0851314,-8.05988e-19,80.6564,0.812251,0.000741357,14.4855,106.464,1,0.1482,0.1682,0.02,0
5.90057,-0.0806051,-1.04694e-18,80.251,0.813402,0.000747143,14.5591,106.505,1,0.149067,0.169067,0.02,0
5.88036,-0.076218,-1.07044e-18,79.7887,0.81457,0.00075353,14.6314,106.547,1,0.149933,0.169933,0.02,0
5.861,-0.0720413,-7.93275e-19,79.2731,0.815526,0.000760084,14.702,106.513,1,0.1508,0.1708,0.02,0
5.84239,-0.0680594,-2.28763e-19,78.7098,0.816296,0.000766797,14.7709,106.412,1,0.151667,0.171667,0.02,0
5.82433,-0.0642328,1.08078e-19,78.1431,0.816964,0.000773433,14.8386,106.272,1,0.152533,0.172533,0.02,0
5.80718,-0.0606844,-4.30318e-20,77.562,0.817419,0.000779923,14.9044,106.047,1,0.1534,0.1734,0.02,0
5.79031,-0.0572142,-2.32076e-19,77.0243,0.817895,0.000786059,14.9695,105.833,1,0.154267,0.174267,0.02,0
5.77452,-0.0540988,-3.36978e-19,76.6019,0.818243,0.000790859,15.0325,105.581,1,0.155133,0.175133,0.02,0
5.75875,-0.0509781,-4.35843e-19,76.2017,0.818651,0.000795576,15.0952,105.341,1,0.156,0.176,0.02,0
5.74422,-0.0482966,4.15793e-19,75.9475,0.818845,0.000798394,15.1555,104.824,1,0.156867,0.176867,0.02,0
5.72963,-0.0455854,1.34821e-18,75.7103,0.819132,0.000801229,15.2158,104.338,1,0.157733,0.177733,0.02,0
5.71608,-0.0432954,1.63051e-18,75.3748,0.819219,0.000804734,15.2742,103.803,1,0.1586,0.1786,0.02,0
5.70263,-0.0410477,1.77947e-18,75.0368,0.819348,0.000808369,15.3322,103.286,1,0.159467,0.179467,0.02,0
5.68987,-0.0391213,1.76304e-18,74.6303,0.819602,0.000813059,15.389,102.842,1,0.160333,0.180333,0.02,0
5.67743,-0.0373487,1.69274e-18,74.1933,0.819956,0.000818328,15.4452,102.448,1,0.1612,0.1812,0.02,0
5.66536,-0.0357892,1.88123e-18,73.7505,0.820405,0.000823908,15.5008,102.038,1,0.162067,0.182067,0.02,0
5.65379,-0.0345118,2.39586e-18,73.2958,0.820946,0.000829876,15.5555,101.601,1,0.162933,0.182933,0.02,0
5.64232,-0.0333302,2.78974e-18,72.8463,0.821449,0.000835759,15.6099,101.186,1,0.1638,0.1838,0.02,0
5.63148,-0.0325994,2.56475e-18,72.3845,0.821551,0.000841088,15.6635,100.792,1,0.164667,0.184667,0.02,0
5.62056,-0.0318513,2.29588e-18,71.9314,0.821728,0.000846497,15.717,100.421,1,0.165533,0.185533,0.02,0
5.60978,-0.0316987,1.81229e-18,71.5533,0.821676,0.000850929,15.77,100.143,1,0.1664,0.1864,0.02,0
5.59853,-0.0315865,1.28021e-18,71.1808,0.821529,0.000855353,15.8228,99.8533,1,0.167267,0.187267,0.02,0
5.58766,-0.0319169,7.55475e-19,70.803,0.821327,0.000859841,15.8755,99.4634,1,0.168133,0.188133,0.02,0
5.57696,-0.0324637,2.82529e-19,70.4231,0.82113,0.000864431,15.928,99.0348,1,0.169,0.189,0.02,0
5.5664,-0.0332972,6.13493e-20,70.0535,0.820838,0.000868699,15.9807,98.549,1,0.169867,0.189867,0.02,0
5.55606,-0.0346169,2.20332e-19,69.6954,0.820349,0.000872433,16.0334,97.9555,1,0.170733,0.190733,0.02,0
5.54571,-0.0359938,4.23186e-19,69.338,0.819924,0.000876315,16.0861,97.397,1,0.1716,0.1916,0.02,0
5.5355,-0.038265,6.24503e-19,68.9941,0.81946,0.000879883,16.1395,97.0418,1,0.172467,0.192467,0.02,0
5.52526,-0.0405356,8.46855e-19,68.6554,0.819075,0.000883575,16.1928,96.7055,1,0.173333,0.193333,0.02,0
5.51493,-0.0436761,9.92731e-19,68.2523,0.818718,0.00088829,16.247,96.6068,1,0.1742,0.1942,0.02,0
5.50457,-0.0471308,1.1086e-18,67.827,0.818424,0.000893493,16.3013,96.6029,1,0.175067,0.195067,0.02,0
5.49411,-0.0512311,1.26339e-18,67.4761,0.818313,0.000898122,16.3561,96.7203,1,0.175933,0.195933,0.02,0
5.48352,-0.0563343,1.42218e-18,67.2378,0.818421,0.000901722,16.412,97.0158,1,0.1768,0.1968,0.02,0
5.47291,-0.0615021,1.51054e-18,67.0005,0.818591,0.000905449,16.4676,97.3386,1,0.177667,0.197667,0.02,0
5.46149,-0.0686942,1.79385e-18,66.8167,0.819227,0.00090945,16.5228,98.0704,1,0.178533,0.198533,0.02,0
5.4501,-0.0758958,1.9738e-18,66.6316,0.819888,0.000913528,16.5776,98.8028,1,0.1794,0.1994,0.02,0
5.43923,-0.0851765,1.8263e-18,66.5488,0.820994,0.000917138,16.6331,99.7951,1,0.180267,0.200267,0.02,0
5.42867,-0.0955972,1.51008e-18,66.5249,0.822367,0.000920482,16.6887,100.923,1,0.181133,0.201133,0.02,0
5.41748,-0.106834,1.09693e-18,66.5852,0.823778,0.000922707,16.7394,102.172,1,0.182,0.202,0.02,0
5.40423,-0.120599,5.079e-19,66.9055,0.825231,0.000921357,16.7759,103.808,1,0.182867,0.202867,0.02,0
